field_name,polismart_category,non_null_rows,unique_values,note
Q26,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q27A,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q27B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q27C,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q28,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q29A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q29B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q30,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q31,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q32A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q32B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33D,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33E,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33F,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33G,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33H,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q33I,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q34A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q34B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q35A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q35B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q35C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q36A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q36B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q36C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37F,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37G,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37H,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37I,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37J,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q37K,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38E,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38F,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38G,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38H,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38I,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38J,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q38K,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q39A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q39B,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q40A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q40B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q40C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q40D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41F,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41G,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q41H,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q42A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q42B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q42C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q42D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q43A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q43B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q43C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q43D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q43E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q44A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q44B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q44C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q44D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q44E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q45PT1,Survey question — map with Round 9 codebook,53444,41,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q45PT1OTHER,Survey question — map with Round 9 codebook,7672,3165,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q45PT2,Survey question — map with Round 9 codebook,53444,39,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q45PT2OTHER,Survey question — map with Round 9 codebook,7258,3235,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q45PT3,Survey question — map with Round 9 codebook,53444,38,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q45PT3OTHER,Survey question — map with Round 9 codebook,6575,3119,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46D,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46E,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46F,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46G,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46H,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46I,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46J,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46K,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46L,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46M,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46N,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46O,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46P,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q46Q,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q47A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q47B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q47C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q48A,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q48B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q49A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q49B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q50A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q50B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q50C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q51A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q51B,Survey question — map with Round 9 codebook,53444,9,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q52A,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q52B,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q53A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q53B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q53C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q54,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q55A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q55B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q55C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q56A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q56B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q56C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q57A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q57B,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q58A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q58B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q58C,Survey question — map with Round 9 codebook,53444,30,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q59,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q60,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q61A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q61B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q61C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q62,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q63A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q63B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q63C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q64A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q64B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q65A,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q65B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q66A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q66B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q67A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q67B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q68A,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q68B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q69,Survey question — map with Round 9 codebook,53444,11,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q70A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q70B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q70C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q70D,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q71,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q72A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q72B,Survey question — map with Round 9 codebook,53444,9,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q72C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q72D,Survey question — map with Round 9 codebook,53444,10,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q72E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
